id	label	description	url	x	y	cluster	weight<Links>	weight<Citations>	weight<Norm. citations>	score<Pub. year>	score<Citations>	score<Norm. citations>
936	mitchell (2004)	"<table><tr><td>Authors:</td><td>mitchell, kj; johnson, mk; raye, cl; greene, ej</td></tr><tr><td>Title:</td><td>prefrontal cortex activity associated with source monitoring in a working memory task</td></tr><tr><td>Source:</td><td>journal of cognitive neuroscience, 16(6), 921-934</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	https://doi.org/10.1162/0898929041502724	-0.2347	-0.3015	3	9	85	1.2022	2004	85	1.2022
940	kahn (2004)	"<table><tr><td>Authors:</td><td>kahn, i; davachi, l; wagner, ad</td></tr><tr><td>Title:</td><td>functional-neuroanatomic correlates of recollection: implications for models of recognition memory</td></tr><tr><td>Source:</td><td>journal of neuroscience, 24(17), 4172-4180</td></tr><tr><td>Year:</td><td>2004</td></tr></table>"	https://doi.org/10.1523/jneurosci.0624-04.2004	0.6634	-0.5654	3	6	288	4.0733	2004	288	4.0733
949	kensinger (2003)	"<table><tr><td>Authors:</td><td>kensinger, ea; corkin, s</td></tr><tr><td>Title:</td><td>memory enhancement for emotional words: are emotional words more vividly remembered than neutral words?</td></tr><tr><td>Source:</td><td>memory & cognition, 31(8), 1169-1180</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.3758/bf03195800	-0.9467	-0.3274	4	3	481	5.7262	2003	481	5.7262
953	johansson (2003)	"<table><tr><td>Authors:</td><td>johansson, m; mecklinger, a</td></tr><tr><td>Title:</td><td>the late posterior negativity in erp studies of episodic memory: action monitoring and retrieval of attribute conjunctions</td></tr><tr><td>Source:</td><td>biological psychology, 64(1-2), 91-117</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.1016/s0301-0511(03)00104-2	0.932	0.4267	1	11	112	1.3333	2003	112	1.3333
957	slotnick (2003)	"<table><tr><td>Authors:</td><td>slotnick, sd; moo, lr; segal, jb; hart, j</td></tr><tr><td>Title:</td><td>distinct prefrontal cortex activity associated with item memory and source memory for visual shapes</td></tr><tr><td>Source:</td><td>cognitive brain research, 17(1), 75-82</td></tr><tr><td>Year:</td><td>2003</td></tr></table>"	https://doi.org/10.1016/s0926-6410(03)00082-x	-0.1462	-0.1695	3	8	506	6.0238	2003	506	6.0238
979	cabeza (2002)	"<table><tr><td>Authors:</td><td>cabeza, r; anderson, nd; locantore, jk; mcintosh, ar</td></tr><tr><td>Title:</td><td>aging gracefully: compensatory brain activity in high-performing older adults</td></tr><tr><td>Source:</td><td>neuroimage, 17(3), 1394-1402</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1006/nimg.2002.1280	0.1399	-0.6492	5	6	1165	10.9082	2002	1165	10.9082
981	cansino (2002)	"<table><tr><td>Authors:</td><td>cansino, s; maquet, p; dolan, rj; rugg, md</td></tr><tr><td>Title:</td><td>brain activity underlying encoding and retrieval of source memory</td></tr><tr><td>Source:</td><td>cerebral cortex, 12(10), 1048-1056</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1093/cercor/12.10.1048	0.1847	-0.3906	3	12	319	2.9869	2002	319	2.9869
986	dobbins (2002)	"<table><tr><td>Authors:</td><td>dobbins, ig; foley, h; schacter, dl; wagner, ad</td></tr><tr><td>Title:</td><td>executive control during episodic retrieval: multiple prefrontal processes subserve source memory</td></tr><tr><td>Source:</td><td>neuron, 35(5), 989-996</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1016/s0896-6273(02)00858-9	0.3478	-0.6132	3	9	361	3.3801	2002	361	3.3801
990	wegesin (2002)	"<table><tr><td>Authors:</td><td>wegesin, dj; friedman, d; varughese, n; stern, y</td></tr><tr><td>Title:</td><td>age-related changes in source memory retrieval: an erp replication and extension</td></tr><tr><td>Source:</td><td>cognitive brain research, 13(3), 323-338</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1016/s0926-6410(01)00126-4	0.6945	0.0632	1	13	71	0.6648	2002	71	0.6648
998	rahhal (2002)	"<table><tr><td>Authors:</td><td>rahhal, ta; may, cp; hasher, l</td></tr><tr><td>Title:</td><td>truth and character: sources that older adults can remember</td></tr><tr><td>Source:</td><td>psychological science, 13(2), 101-105</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1111/1467-9280.00419	-0.7397	-0.2615	4	7	135	1.264	2002	135	1.264
1002	meiser (2002)	"<table><tr><td>Authors:</td><td>meiser, t; broder, a</td></tr><tr><td>Title:</td><td>memory for multidimensional source information</td></tr><tr><td>Source:</td><td>journal of experimental psychology-learning memory and cognition, 28(1), 116-137</td></tr><tr><td>Year:</td><td>2002</td></tr></table>"	https://doi.org/10.1037//0278-7393.28.1.116	-0.8536	0.3298	2	10	101	0.9457	2002	101	0.9457
1004	glisky (2001)	"<table><tr><td>Authors:</td><td>glisky, el; rubin, sr; davidson, psr</td></tr><tr><td>Title:</td><td>source memory in older adults: an encoding or retrieval problem?</td></tr><tr><td>Source:</td><td>journal of experimental psychology-learning memory and cognition, 27(5), 1131-1146</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"	https://doi.org/10.1037//0278-7393.27.5.1131	0.1009	0.1959	5	13	272	2.906	2001	272	2.906
1006	cycowicz (2001)	"<table><tr><td>Authors:</td><td>cycowicz, ym; friedman, d; snodgrass, jg</td></tr><tr><td>Title:</td><td>remembering the color of objects: an erp investigation of source memory</td></tr><tr><td>Source:</td><td>cerebral cortex, 11(4), 322-334</td></tr><tr><td>Year:</td><td>2001</td></tr></table>"	https://doi.org/10.1093/cercor/11.4.322	1.0343	-0.0599	1	11	85	0.9081	2001	85	0.9081
1009	slotnick (2000)	"<table><tr><td>Authors:</td><td>slotnick, sd; klein, sa; dodson, cs; shimamura, ap</td></tr><tr><td>Title:</td><td>an analysis of signal detection and threshold models of source memory</td></tr><tr><td>Source:</td><td>journal of experimental psychology-learning memory and cognition, 26(6), 1499-1517</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	https://doi.org/10.1037//0278-7393.26.6.1499	-0.4351	0.5678	2	7	74	1.5438	2000	74	1.5438
1018	wilding (2000)	"<table><tr><td>Authors:</td><td>wilding, el</td></tr><tr><td>Title:</td><td>in what way does the parietal erp old/new effect index recollection?</td></tr><tr><td>Source:</td><td>international journal of psychophysiology, 35(1), 81-87</td></tr><tr><td>Year:</td><td>2000</td></tr></table>"	https://doi.org/10.1016/s0167-8760(99)00095-1	0.8472	0.5488	1	9	191	3.9847	2000	191	3.9847
1025	yonelinas (1999)	"<table><tr><td>Authors:</td><td>yonelinas, ap</td></tr><tr><td>Title:</td><td>the contribution of recollection and familiarity to recognition and source-memory judgments: a formal dual-process model and an analysis of receiver operating characteristics</td></tr><tr><td>Source:</td><td>journal of experimental psychology-learning memory and cognition, 25(6), 1415-1434</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	https://doi.org/10.1037/0278-7393.25.6.1415	-0.0395	0.5091	2	11	257	2.5641	1999	257	2.5641
1026	rugg (1999)	"<table><tr><td>Authors:</td><td>rugg, md; fletcher, pc; chua, pml; dolan, rj</td></tr><tr><td>Title:</td><td>the role of the prefrontal cortex in recognition memory and memory for source: an fmri study</td></tr><tr><td>Source:</td><td>neuroimage, 10(5), 520-529</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	https://doi.org/10.1006/nimg.1999.0488	-0.0504	-0.676	3	8	207	2.0652	1999	207	2.0652
1028	henson (1999)	"<table><tr><td>Authors:</td><td>henson, rna; shallice, t; dolan, rj</td></tr><tr><td>Title:</td><td>right prefrontal cortex and episodic memory retrieval: a functional mri test of the monitoring hypothesis</td></tr><tr><td>Source:</td><td>brain, 122, 1367-1381</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	https://doi.org/10.1093/brain/122.7.1367	-0.2448	-0.573	3	11	342	3.4121	1999	342	3.4121
1032	mather (1999)	"<table><tr><td>Authors:</td><td>mather, m; johnson, mk; de leonardis, dm</td></tr><tr><td>Title:</td><td>stereotype reliance in source monitoring: age differences and neuropsychological test correlates</td></tr><tr><td>Source:</td><td>cognitive neuropsychology, 16(3-5), 437-458</td></tr><tr><td>Year:</td><td>1999</td></tr></table>"	https://doi.org/10.1080/026432999380870	-0.5675	0.3014	5	7	137	1.3668	1999	137	1.3668
1039	dodson (1998)	"<table><tr><td>Authors:</td><td>dodson, cs; holland, pw; shimamura, ap</td></tr><tr><td>Title:</td><td>on the recollection of specific- and partial-source information</td></tr><tr><td>Source:</td><td>journal of experimental psychology-learning memory and cognition, 24(5), 1121-1136</td></tr><tr><td>Year:</td><td>1998</td></tr></table>"	https://doi.org/10.1037/0278-7393.24.5.1121	-0.7288	0.4248	2	12	95	2.1732	1998	95	2.1732
1044	trott (1997)	"<table><tr><td>Authors:</td><td>trott, ct; friedman, d; ritter, w; fabiani, m</td></tr><tr><td>Title:</td><td>item and source memory: differential age effects revealed by event-related potentials</td></tr><tr><td>Source:</td><td>neuroreport, 8(15), 3373-3378</td></tr><tr><td>Year:</td><td>1997</td></tr></table>"	https://doi.org/10.1097/00001756-199710200-00036	0.8255	-0.1485	1	12	96	1.5287	1997	96	1.5287
1053	glisky (1995)	"<table><tr><td>Authors:</td><td>glisky, el; polster, mr; routhieaux, bc</td></tr><tr><td>Title:</td><td>double dissociation between item and source memory</td></tr><tr><td>Source:</td><td>neuropsychology, 9(2), 229-235</td></tr><tr><td>Year:</td><td>1995</td></tr></table>"	https://doi.org/10.1037/0894-4105.9.2.229	-0.3848	-0.0249	5	10	317	2.6713	1995	317	2.6713
1061	janowsky (1989)	"<table><tr><td>Authors:</td><td>janowsky, js; shimamura, ap; squire, lr</td></tr><tr><td>Title:</td><td>source memory impairment in patients with frontal-lobe lesions</td></tr><tr><td>Source:</td><td>neuropsychologia, 27(8), 1043-1056</td></tr><tr><td>Year:</td><td>1989</td></tr></table>"	https://doi.org/10.1016/0028-3932(89)90184-x	0.1286	-0.0767	5	16	465	1	1989	465	1
