id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
894	response bias	-0.6595	0.5586	1	27	41	7	2006	46.1429	0.862
902	retrieval	0.0514	-0.3814	2	89	469	70	2004.6286	86.3	1.3657
934	schizophrenia	-0.858	-0.518	2	36	83	18	2005.8889	32.5	0.7406
949	semantic memory	-0.7497	-0.5832	2	26	42	7	2004.7143	54.1429	0.9889
971	signal-detection-theory	-0.3096	1.0537	1	29	45	7	2006.5714	44.1429	0.9325
982	source amnesia	-0.3016	0.0238	1	47	95	15	2001.4667	89.1333	1.152
988	source information	0.3361	0.5375	1	39	60	10	2005.1	44.4	0.8818
990	source memory	-0.1091	-0.0096	2	99	869	146	2005.2329	60.2603	1.1536
993	source memory retrieval	0.8368	0.1396	3	31	71	8	2008	31.5	0.8243
995	source monitoring	-0.5398	0.0723	2	58	108	19	2006.1053	44.3158	0.9239
1065	temporal-order	0.0954	-0.8799	2	30	45	5	2004.8	67.4	1.3531
1079	time-course	0.9352	0.6261	3	27	48	7	2004.4286	46.8571	0.5682
1088	unconscious influences	0.4967	0.5138	3	29	42	8	2003.625	53.75	0.9616
1108	visual complexity	0.8308	-0.5113	3	29	57	7	2003.4286	135.1429	2.0011
1123	words	-0.2169	0.2336	1	40	83	12	2003.0833	104.25	1.3056
1125	working-memory	-0.1029	-0.337	2	65	143	23	2006.0435	94.3913	1.5351
1128	young	-0.9266	0.4197	1	39	85	14	2002.3571	68.8571	1.2045
1132	younger	-0.7884	0.829	1	29	59	10	2006.6	39.5	0.7699
